[2026-01-17 07:59:08,228] [INFO] ✅ 支付系统配置验证通过
[2026-01-17 07:59:08,766] [INFO] ✅ 数据库索引创建完成
[2026-01-17 07:59:08,767] [INFO] ✅ 数据库管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Bot管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Tron客户端初始化完成，API Keys数量: 1
[2026-01-17 07:59:08,767] [INFO] ✅ 代理支付系统初始化完成
[2026-01-17 07:59:08,768] [INFO] 🔄 支付处理循环已启动
[2026-01-17 07:59:08,769] [INFO] 🔄 订单清理循环已启动
[2026-01-17 07:59:08,769] [INFO] ✅ 支付系统已启动
[2026-01-17 07:59:08,770] [INFO] ✅ 支付系统测试启动成功
[2026-01-17 07:59:08,770] [INFO] 按 Ctrl+C 停止...
[2026-01-17 08:04:46,242] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:49,320] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:52,414] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:55,500] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:58,588] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:01,682] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:04,776] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:07,922] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:11,026] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:14,204] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:17,292] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:20,383] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:23,462] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:26,549] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:29,634] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:32,725] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:05:35,822] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
